date,codes
2016-04-18,"['000034.SZ', '000048.SZ', '000592.SZ', '000639.SZ', '000702.SZ', '000713.SZ', '000735.SZ', '000798.SZ', '000876.SZ', '000893.SZ', '000911.SZ', '000930.SZ', '000972.SZ', '000998.SZ', '002041.SZ', '002069.SZ', '002086.SZ', '002100.SZ', '002124.SZ', '002157.SZ', '002173.SZ', '002220.SZ', '002234.SZ', '002286.SZ', '002299.SZ', '002311.SZ', '002321.SZ', '002385.SZ', '002447.SZ', '002458.SZ', '002477.SZ', '002505.SZ', '002548.SZ', '002567.SZ', '002604.SZ', '002679.SZ', '002688.SZ', '002696.SZ', '002714.SZ', '002746.SZ', '002772.SZ', '300021.SZ', '300087.SZ', '300094.SZ', '300106.SZ', '300119.SZ', '300138.SZ', '300143.SZ', '300149.SZ', '300175.SZ', '300189.SZ', '300268.SZ', '300313.SZ', '300498.SZ', '300511.SZ', '600097.SH', '600108.SH', '600127.SH', '600189.SH', '600191.SH', '600195.SH', '600201.SH', '600226.SH', '600257.SH', '600265.SH', '600298.SH', '600313.SH', '600354.SH', '600359.SH', '600371.SH', '600438.SH', '600467.SH', '600506.SH', '600540.SH', '600598.SH', '600695.SH', '600737.SH', '600962.SH', '600965.SH', '600975.SH', '601118.SH', '603566.SH', '603609.SH', '603718.SH']"
2016-06-15,"['000034.SZ', '000048.SZ', '000592.SZ', '000639.SZ', '000702.SZ', '000713.SZ', '000735.SZ', '000798.SZ', '000876.SZ', '000893.SZ', '000911.SZ', '000930.SZ', '000972.SZ', '000998.SZ', '002041.SZ', '002069.SZ', '002086.SZ', '002100.SZ', '002124.SZ', '002157.SZ', '002173.SZ', '002220.SZ', '002234.SZ', '002286.SZ', '002299.SZ', '002311.SZ', '002321.SZ', '002385.SZ', '002447.SZ', '002458.SZ', '002477.SZ', '002505.SZ', '002548.SZ', '002567.SZ', '002604.SZ', '002679.SZ', '002688.SZ', '002696.SZ', '002714.SZ', '002746.SZ', '002772.SZ', '300021.SZ', '300087.SZ', '300094.SZ', '300106.SZ', '300119.SZ', '300138.SZ', '300143.SZ', '300149.SZ', '300175.SZ', '300189.SZ', '300268.SZ', '300313.SZ', '300498.SZ', '300511.SZ', '600097.SH', '600108.SH', '600127.SH', '600189.SH', '600191.SH', '600195.SH', '600201.SH', '600226.SH', '600251.SH', '600257.SH', '600265.SH', '600298.SH', '600313.SH', '600354.SH', '600359.SH', '600371.SH', '600438.SH', '600467.SH', '600506.SH', '600540.SH', '600598.SH', '600695.SH', '600737.SH', '600962.SH', '600965.SH', '600975.SH', '601118.SH', '603566.SH', '603609.SH', '603718.SH']"
2016-06-22,"['000034.SZ', '000048.SZ', '000592.SZ', '000639.SZ', '000702.SZ', '000713.SZ', '000735.SZ', '000798.SZ', '000876.SZ', '000893.SZ', '000911.SZ', '000930.SZ', '000972.SZ', '000998.SZ', '002041.SZ', '002069.SZ', '002086.SZ', '002100.SZ', '002124.SZ', '002157.SZ', '002220.SZ', '002234.SZ', '002286.SZ', '002299.SZ', '002311.SZ', '002321.SZ', '002385.SZ', '002447.SZ', '002458.SZ', '002477.SZ', '002505.SZ', '002548.SZ', '002567.SZ', '002604.SZ', '002679.SZ', '002688.SZ', '002696.SZ', '002714.SZ', '002746.SZ', '002772.SZ', '300021.SZ', '300087.SZ', '300094.SZ', '300106.SZ', '300119.SZ', '300138.SZ', '300143.SZ', '300149.SZ', '300175.SZ', '300189.SZ', '300268.SZ', '300313.SZ', '300498.SZ', '300511.SZ', '600097.SH', '600108.SH', '600127.SH', '600189.SH', '600191.SH', '600195.SH', '600201.SH', '600226.SH', '600251.SH', '600257.SH', '600265.SH', '600298.SH', '600313.SH', '600354.SH', '600359.SH', '600371.SH', '600438.SH', '600467.SH', '600506.SH', '600540.SH', '600598.SH', '600695.SH', '600737.SH', '600962.SH', '600965.SH', '600975.SH', '601118.SH', '603566.SH', '603609.SH', '603718.SH']"
2016-11-07,"['000034.SZ', '000048.SZ', '000592.SZ', '000639.SZ', '000702.SZ', '000713.SZ', '000735.SZ', '000798.SZ', '000876.SZ', '000893.SZ', '000911.SZ', '000930.SZ', '000972.SZ', '000998.SZ', '002041.SZ', '002069.SZ', '002086.SZ', '002100.SZ', '002124.SZ', '002157.SZ', '002220.SZ', '002234.SZ', '002286.SZ', '002299.SZ', '002311.SZ', '002321.SZ', '002385.SZ', '002447.SZ', '002458.SZ', '002477.SZ', '002505.SZ', '002548.SZ', '002567.SZ', '002604.SZ', '002679.SZ', '002688.SZ', '002696.SZ', '002714.SZ', '002746.SZ', '002772.SZ', '300021.SZ', '300087.SZ', '300094.SZ', '300106.SZ', '300119.SZ', '300138.SZ', '300143.SZ', '300149.SZ', '300175.SZ', '300189.SZ', '300268.SZ', '300313.SZ', '300498.SZ', '300511.SZ', '600097.SH', '600108.SH', '600127.SH', '600189.SH', '600191.SH', '600195.SH', '600201.SH', '600226.SH', '600251.SH', '600257.SH', '600265.SH', '600298.SH', '600313.SH', '600354.SH', '600359.SH', '600371.SH', '600438.SH', '600467.SH', '600506.SH', '600540.SH', '600598.SH', '600695.SH', '600737.SH', '600962.SH', '600965.SH', '600975.SH', '601118.SH', '603336.SH', '603566.SH', '603609.SH', '603718.SH']"
2016-12-01,"['000034.SZ', '000048.SZ', '000592.SZ', '000639.SZ', '000702.SZ', '000713.SZ', '000735.SZ', '000798.SZ', '000876.SZ', '000893.SZ', '000911.SZ', '000930.SZ', '000972.SZ', '000998.SZ', '002041.SZ', '002069.SZ', '002086.SZ', '002100.SZ', '002124.SZ', '002157.SZ', '002220.SZ', '002234.SZ', '002286.SZ', '002299.SZ', '002311.SZ', '002321.SZ', '002385.SZ', '002447.SZ', '002458.SZ', '002477.SZ', '002505.SZ', '002548.SZ', '002567.SZ', '002604.SZ', '002679.SZ', '002688.SZ', '002696.SZ', '002714.SZ', '002746.SZ', '002772.SZ', '300021.SZ', '300087.SZ', '300094.SZ', '300106.SZ', '300119.SZ', '300138.SZ', '300143.SZ', '300149.SZ', '300175.SZ', '300189.SZ', '300268.SZ', '300313.SZ', '300498.SZ', '300511.SZ', '600097.SH', '600108.SH', '600127.SH', '600189.SH', '600191.SH', '600195.SH', '600201.SH', '600226.SH', '600251.SH', '600257.SH', '600265.SH', '600298.SH', '600313.SH', '600354.SH', '600359.SH', '600371.SH', '600438.SH', '600467.SH', '600506.SH', '600540.SH', '600598.SH', '600695.SH', '600737.SH', '600962.SH', '600965.SH', '600975.SH', '601118.SH', '603336.SH', '603566.SH', '603609.SH', '603668.SH', '603718.SH']"
2017-02-20,"['000034.SZ', '000048.SZ', '000592.SZ', '000639.SZ', '000702.SZ', '000713.SZ', '000735.SZ', '000798.SZ', '000876.SZ', '000893.SZ', '000911.SZ', '000930.SZ', '000972.SZ', '000998.SZ', '002041.SZ', '002069.SZ', '002086.SZ', '002100.SZ', '002124.SZ', '002157.SZ', '002220.SZ', '002234.SZ', '002286.SZ', '002299.SZ', '002311.SZ', '002321.SZ', '002385.SZ', '002447.SZ', '002458.SZ', '002477.SZ', '002505.SZ', '002548.SZ', '002567.SZ', '002604.SZ', '002679.SZ', '002688.SZ', '002696.SZ', '002714.SZ', '002746.SZ', '002772.SZ', '002852.SZ', '300021.SZ', '300087.SZ', '300094.SZ', '300106.SZ', '300119.SZ', '300138.SZ', '300143.SZ', '300149.SZ', '300175.SZ', '300189.SZ', '300268.SZ', '300313.SZ', '300498.SZ', '300511.SZ', '600097.SH', '600108.SH', '600127.SH', '600189.SH', '600191.SH', '600195.SH', '600201.SH', '600226.SH', '600251.SH', '600257.SH', '600265.SH', '600298.SH', '600313.SH', '600354.SH', '600359.SH', '600371.SH', '600438.SH', '600467.SH', '600506.SH', '600540.SH', '600598.SH', '600695.SH', '600737.SH', '600962.SH', '600965.SH', '600975.SH', '601118.SH', '603336.SH', '603566.SH', '603609.SH', '603668.SH', '603718.SH']"
2017-04-10,"['000034.SZ', '000048.SZ', '000592.SZ', '000639.SZ', '000702.SZ', '000713.SZ', '000735.SZ', '000798.SZ', '000876.SZ', '000893.SZ', '000911.SZ', '000930.SZ', '000972.SZ', '000998.SZ', '002041.SZ', '002069.SZ', '002086.SZ', '002100.SZ', '002124.SZ', '002157.SZ', '002220.SZ', '002234.SZ', '002286.SZ', '002299.SZ', '002311.SZ', '002321.SZ', '002385.SZ', '002447.SZ', '002458.SZ', '002477.SZ', '002505.SZ', '002548.SZ', '002567.SZ', '002604.SZ', '002679.SZ', '002688.SZ', '002696.SZ', '002714.SZ', '002746.SZ', '002772.SZ', '002852.SZ', '002868.SZ', '300021.SZ', '300087.SZ', '300094.SZ', '300106.SZ', '300119.SZ', '300138.SZ', '300143.SZ', '300149.SZ', '300175.SZ', '300189.SZ', '300268.SZ', '300313.SZ', '300498.SZ', '300511.SZ', '600097.SH', '600108.SH', '600127.SH', '600189.SH', '600191.SH', '600195.SH', '600201.SH', '600226.SH', '600251.SH', '600257.SH', '600265.SH', '600298.SH', '600313.SH', '600354.SH', '600359.SH', '600371.SH', '600438.SH', '600467.SH', '600506.SH', '600540.SH', '600598.SH', '600695.SH', '600737.SH', '600962.SH', '600965.SH', '600975.SH', '601118.SH', '603336.SH', '603566.SH', '603609.SH', '603668.SH', '603718.SH']"
2017-04-24,"['000034.SZ', '000048.SZ', '000592.SZ', '000639.SZ', '000702.SZ', '000713.SZ', '000735.SZ', '000798.SZ', '000876.SZ', '000893.SZ', '000911.SZ', '000930.SZ', '000972.SZ', '000998.SZ', '002041.SZ', '002069.SZ', '002086.SZ', '002100.SZ', '002124.SZ', '002157.SZ', '002220.SZ', '002234.SZ', '002286.SZ', '002299.SZ', '002311.SZ', '002321.SZ', '002385.SZ', '002447.SZ', '002458.SZ', '002477.SZ', '002505.SZ', '002548.SZ', '002567.SZ', '002604.SZ', '002679.SZ', '002688.SZ', '002696.SZ', '002714.SZ', '002746.SZ', '002772.SZ', '002852.SZ', '002868.SZ', '300021.SZ', '300087.SZ', '300094.SZ', '300106.SZ', '300119.SZ', '300138.SZ', '300143.SZ', '300149.SZ', '300175.SZ', '300189.SZ', '300268.SZ', '300313.SZ', '300498.SZ', '300511.SZ', '600097.SH', '600108.SH', '600127.SH', '600189.SH', '600191.SH', '600195.SH', '600201.SH', '600226.SH', '600251.SH', '600257.SH', '600265.SH', '600298.SH', '600313.SH', '600354.SH', '600359.SH', '600371.SH', '600438.SH', '600467.SH', '600506.SH', '600540.SH', '600598.SH', '600695.SH', '600737.SH', '600962.SH', '600965.SH', '600975.SH', '601118.SH', '601952.SH', '603336.SH', '603566.SH', '603609.SH', '603668.SH', '603718.SH']"
2017-06-28,"['000034.SZ', '000048.SZ', '000592.SZ', '000639.SZ', '000702.SZ', '000713.SZ', '000735.SZ', '000798.SZ', '000876.SZ', '000893.SZ', '000911.SZ', '000930.SZ', '000972.SZ', '000998.SZ', '002041.SZ', '002069.SZ', '002086.SZ', '002100.SZ', '002124.SZ', '002157.SZ', '002220.SZ', '002234.SZ', '002286.SZ', '002299.SZ', '002311.SZ', '002321.SZ', '002385.SZ', '002447.SZ', '002458.SZ', '002477.SZ', '002505.SZ', '002548.SZ', '002567.SZ', '002604.SZ', '002679.SZ', '002688.SZ', '002696.SZ', '002714.SZ', '002746.SZ', '002772.SZ', '002852.SZ', '002868.SZ', '300021.SZ', '300087.SZ', '300094.SZ', '300106.SZ', '300119.SZ', '300138.SZ', '300143.SZ', '300149.SZ', '300175.SZ', '300189.SZ', '300268.SZ', '300313.SZ', '300498.SZ', '300511.SZ', '300673.SZ', '600097.SH', '600108.SH', '600127.SH', '600189.SH', '600191.SH', '600195.SH', '600201.SH', '600226.SH', '600251.SH', '600257.SH', '600265.SH', '600298.SH', '600313.SH', '600354.SH', '600359.SH', '600371.SH', '600438.SH', '600467.SH', '600506.SH', '600540.SH', '600598.SH', '600695.SH', '600737.SH', '600962.SH', '600965.SH', '600975.SH', '601118.SH', '601952.SH', '603336.SH', '603566.SH', '603609.SH', '603668.SH', '603718.SH']"
2017-06-29,"['000048.SZ', '000592.SZ', '000639.SZ', '000702.SZ', '000713.SZ', '000735.SZ', '000798.SZ', '000876.SZ', '000893.SZ', '000911.SZ', '000930.SZ', '000972.SZ', '000998.SZ', '002041.SZ', '002069.SZ', '002086.SZ', '002100.SZ', '002124.SZ', '002157.SZ', '002220.SZ', '002234.SZ', '002286.SZ', '002299.SZ', '002311.SZ', '002321.SZ', '002385.SZ', '002447.SZ', '002458.SZ', '002477.SZ', '002505.SZ', '002548.SZ', '002567.SZ', '002604.SZ', '002679.SZ', '002688.SZ', '002696.SZ', '002714.SZ', '002746.SZ', '002772.SZ', '002852.SZ', '002868.SZ', '300021.SZ', '300087.SZ', '300094.SZ', '300106.SZ', '300119.SZ', '300138.SZ', '300143.SZ', '300149.SZ', '300175.SZ', '300189.SZ', '300268.SZ', '300313.SZ', '300498.SZ', '300511.SZ', '300673.SZ', '600097.SH', '600108.SH', '600127.SH', '600189.SH', '600191.SH', '600195.SH', '600201.SH', '600226.SH', '600251.SH', '600257.SH', '600265.SH', '600298.SH', '600313.SH', '600354.SH', '600359.SH', '600371.SH', '600438.SH', '600467.SH', '600506.SH', '600540.SH', '600598.SH', '600695.SH', '600737.SH', '600962.SH', '600965.SH', '600975.SH', '601118.SH', '601952.SH', '603336.SH', '603566.SH', '603609.SH', '603668.SH', '603718.SH']"
2017-07-03,"['000048.SZ', '000592.SZ', '000639.SZ', '000702.SZ', '000713.SZ', '000735.SZ', '000798.SZ', '000876.SZ', '000893.SZ', '000911.SZ', '000930.SZ', '000972.SZ', '000998.SZ', '002041.SZ', '002069.SZ', '002086.SZ', '002100.SZ', '002124.SZ', '002157.SZ', '002220.SZ', '002234.SZ', '002286.SZ', '002299.SZ', '002311.SZ', '002321.SZ', '002385.SZ', '002447.SZ', '002458.SZ', '002477.SZ', '002505.SZ', '002548.SZ', '002567.SZ', '002604.SZ', '002679.SZ', '002688.SZ', '002696.SZ', '002714.SZ', '002746.SZ', '002772.SZ', '002852.SZ', '002868.SZ', '300021.SZ', '300087.SZ', '300094.SZ', '300106.SZ', '300119.SZ', '300138.SZ', '300143.SZ', '300149.SZ', '300175.SZ', '300189.SZ', '300268.SZ', '300313.SZ', '300498.SZ', '300511.SZ', '300673.SZ', '600097.SH', '600108.SH', '600127.SH', '600189.SH', '600191.SH', '600195.SH', '600201.SH', '600226.SH', '600251.SH', '600257.SH', '600265.SH', '600298.SH', '600313.SH', '600354.SH', '600359.SH', '600371.SH', '600438.SH', '600467.SH', '600506.SH', '600540.SH', '600598.SH', '600695.SH', '600737.SH', '600873.SH', '600962.SH', '600965.SH', '600975.SH', '601118.SH', '601952.SH', '603336.SH', '603566.SH', '603609.SH', '603668.SH', '603718.SH']"
2017-09-05,"['000048.SZ', '000592.SZ', '000639.SZ', '000702.SZ', '000713.SZ', '000735.SZ', '000798.SZ', '000876.SZ', '000893.SZ', '000911.SZ', '000930.SZ', '000972.SZ', '000998.SZ', '002041.SZ', '002069.SZ', '002086.SZ', '002100.SZ', '002124.SZ', '002157.SZ', '002220.SZ', '002234.SZ', '002286.SZ', '002299.SZ', '002311.SZ', '002321.SZ', '002385.SZ', '002447.SZ', '002458.SZ', '002477.SZ', '002505.SZ', '002548.SZ', '002567.SZ', '002604.SZ', '002679.SZ', '002688.SZ', '002696.SZ', '002714.SZ', '002746.SZ', '002772.SZ', '002852.SZ', '002868.SZ', '300021.SZ', '300087.SZ', '300094.SZ', '300106.SZ', '300119.SZ', '300138.SZ', '300143.SZ', '300149.SZ', '300175.SZ', '300189.SZ', '300268.SZ', '300313.SZ', '300498.SZ', '300511.SZ', '300673.SZ', '600097.SH', '600108.SH', '600127.SH', '600189.SH', '600191.SH', '600195.SH', '600201.SH', '600226.SH', '600251.SH', '600257.SH', '600265.SH', '600298.SH', '600313.SH', '600354.SH', '600359.SH', '600371.SH', '600438.SH', '600467.SH', '600506.SH', '600540.SH', '600598.SH', '600695.SH', '600737.SH', '600873.SH', '600962.SH', '600965.SH', '600975.SH', '601118.SH', '601952.SH', '603336.SH', '603363.SH', '603566.SH', '603609.SH', '603668.SH', '603718.SH']"
2018-04-12,"['000048.SZ', '000592.SZ', '000639.SZ', '000702.SZ', '000713.SZ', '000735.SZ', '000798.SZ', '000876.SZ', '000893.SZ', '000911.SZ', '000930.SZ', '000972.SZ', '000998.SZ', '002041.SZ', '002069.SZ', '002086.SZ', '002100.SZ', '002124.SZ', '002157.SZ', '002220.SZ', '002234.SZ', '002286.SZ', '002299.SZ', '002311.SZ', '002321.SZ', '002385.SZ', '002447.SZ', '002458.SZ', '002477.SZ', '002505.SZ', '002548.SZ', '002567.SZ', '002604.SZ', '002679.SZ', '002688.SZ', '002696.SZ', '002714.SZ', '002746.SZ', '002772.SZ', '002852.SZ', '002868.SZ', '002891.SZ', '300021.SZ', '300087.SZ', '300094.SZ', '300106.SZ', '300119.SZ', '300138.SZ', '300143.SZ', '300149.SZ', '300175.SZ', '300189.SZ', '300268.SZ', '300313.SZ', '300498.SZ', '300511.SZ', '300673.SZ', '600097.SH', '600108.SH', '600127.SH', '600189.SH', '600191.SH', '600195.SH', '600201.SH', '600226.SH', '600251.SH', '600257.SH', '600265.SH', '600298.SH', '600313.SH', '600354.SH', '600359.SH', '600371.SH', '600438.SH', '600467.SH', '600506.SH', '600540.SH', '600598.SH', '600695.SH', '600737.SH', '600873.SH', '600962.SH', '600965.SH', '600975.SH', '601118.SH', '601952.SH', '603336.SH', '603363.SH', '603566.SH', '603609.SH', '603668.SH', '603718.SH']"
2018-06-12,"['000048.SZ', '000576.SZ', '000592.SZ', '000639.SZ', '000702.SZ', '000713.SZ', '000735.SZ', '000798.SZ', '000876.SZ', '000893.SZ', '000911.SZ', '000930.SZ', '000972.SZ', '000998.SZ', '002041.SZ', '002069.SZ', '002086.SZ', '002100.SZ', '002124.SZ', '002157.SZ', '002220.SZ', '002234.SZ', '002286.SZ', '002299.SZ', '002311.SZ', '002321.SZ', '002385.SZ', '002447.SZ', '002458.SZ', '002477.SZ', '002505.SZ', '002548.SZ', '002567.SZ', '002604.SZ', '002679.SZ', '002688.SZ', '002696.SZ', '002714.SZ', '002746.SZ', '002772.SZ', '002852.SZ', '002868.SZ', '002891.SZ', '300021.SZ', '300087.SZ', '300094.SZ', '300106.SZ', '300119.SZ', '300138.SZ', '300143.SZ', '300149.SZ', '300175.SZ', '300189.SZ', '300268.SZ', '300313.SZ', '300498.SZ', '300511.SZ', '300673.SZ', '600097.SH', '600108.SH', '600127.SH', '600189.SH', '600191.SH', '600195.SH', '600201.SH', '600226.SH', '600251.SH', '600257.SH', '600265.SH', '600298.SH', '600313.SH', '600354.SH', '600359.SH', '600371.SH', '600438.SH', '600467.SH', '600506.SH', '600540.SH', '600598.SH', '600695.SH', '600737.SH', '600873.SH', '600962.SH', '600965.SH', '600975.SH', '601118.SH', '601952.SH', '603336.SH', '603363.SH', '603566.SH', '603609.SH', '603668.SH', '603718.SH']"
2018-07-16,"['000048.SZ', '000505.SZ', '000576.SZ', '000592.SZ', '000639.SZ', '000702.SZ', '000713.SZ', '000735.SZ', '000798.SZ', '000876.SZ', '000893.SZ', '000911.SZ', '000930.SZ', '000972.SZ', '000998.SZ', '002041.SZ', '002069.SZ', '002086.SZ', '002100.SZ', '002124.SZ', '002157.SZ', '002220.SZ', '002234.SZ', '002286.SZ', '002299.SZ', '002311.SZ', '002321.SZ', '002385.SZ', '002458.SZ', '002477.SZ', '002505.SZ', '002548.SZ', '002567.SZ', '002604.SZ', '002679.SZ', '002688.SZ', '002696.SZ', '002714.SZ', '002746.SZ', '002772.SZ', '002852.SZ', '002868.SZ', '002891.SZ', '300021.SZ', '300087.SZ', '300094.SZ', '300106.SZ', '300119.SZ', '300138.SZ', '300149.SZ', '300175.SZ', '300189.SZ', '300268.SZ', '300313.SZ', '300498.SZ', '300511.SZ', '300673.SZ', '600097.SH', '600108.SH', '600127.SH', '600189.SH', '600191.SH', '600195.SH', '600201.SH', '600226.SH', '600251.SH', '600257.SH', '600265.SH', '600275.SH', '600298.SH', '600313.SH', '600354.SH', '600359.SH', '600371.SH', '600438.SH', '600467.SH', '600506.SH', '600540.SH', '600598.SH', '600737.SH', '600873.SH', '600962.SH', '600965.SH', '600975.SH', '601118.SH', '601952.SH', '603336.SH', '603363.SH', '603566.SH', '603609.SH', '603668.SH', '603718.SH']"
2018-12-28,"['000048.SZ', '000505.SZ', '000576.SZ', '000592.SZ', '000639.SZ', '000702.SZ', '000713.SZ', '000735.SZ', '000798.SZ', '000876.SZ', '000893.SZ', '000911.SZ', '000930.SZ', '000972.SZ', '000998.SZ', '001313.SZ', '002041.SZ', '002069.SZ', '002086.SZ', '002100.SZ', '002124.SZ', '002157.SZ', '002220.SZ', '002234.SZ', '002286.SZ', '002299.SZ', '002311.SZ', '002321.SZ', '002385.SZ', '002458.SZ', '002477.SZ', '002505.SZ', '002548.SZ', '002567.SZ', '002604.SZ', '002679.SZ', '002688.SZ', '002696.SZ', '002714.SZ', '002746.SZ', '002772.SZ', '002852.SZ', '002868.SZ', '002891.SZ', '300021.SZ', '300087.SZ', '300094.SZ', '300106.SZ', '300119.SZ', '300138.SZ', '300149.SZ', '300175.SZ', '300189.SZ', '300268.SZ', '300313.SZ', '300498.SZ', '300511.SZ', '300673.SZ', '600097.SH', '600108.SH', '600127.SH', '600189.SH', '600191.SH', '600195.SH', '600201.SH', '600226.SH', '600251.SH', '600257.SH', '600265.SH', '600275.SH', '600298.SH', '600313.SH', '600354.SH', '600359.SH', '600371.SH', '600438.SH', '600467.SH', '600506.SH', '600540.SH', '600598.SH', '600737.SH', '600873.SH', '600962.SH', '600965.SH', '600975.SH', '601118.SH', '601952.SH', '603336.SH', '603363.SH', '603566.SH', '603609.SH', '603668.SH', '603718.SH']"
2019-01-04,"['000048.SZ', '000505.SZ', '000576.SZ', '000592.SZ', '000639.SZ', '000702.SZ', '000713.SZ', '000735.SZ', '000798.SZ', '000876.SZ', '000893.SZ', '000911.SZ', '000930.SZ', '000972.SZ', '000998.SZ', '001313.SZ', '002041.SZ', '002069.SZ', '002086.SZ', '002100.SZ', '002124.SZ', '002157.SZ', '002220.SZ', '002234.SZ', '002286.SZ', '002299.SZ', '002311.SZ', '002321.SZ', '002385.SZ', '002458.SZ', '002477.SZ', '002505.SZ', '002548.SZ', '002567.SZ', '002604.SZ', '002679.SZ', '002688.SZ', '002696.SZ', '002714.SZ', '002746.SZ', '002772.SZ', '002852.SZ', '002868.SZ', '002891.SZ', '300021.SZ', '300087.SZ', '300094.SZ', '300106.SZ', '300119.SZ', '300138.SZ', '300149.SZ', '300175.SZ', '300189.SZ', '300268.SZ', '300313.SZ', '300498.SZ', '300511.SZ', '300673.SZ', '600097.SH', '600108.SH', '600127.SH', '600189.SH', '600191.SH', '600195.SH', '600201.SH', '600226.SH', '600251.SH', '600257.SH', '600265.SH', '600275.SH', '600298.SH', '600313.SH', '600354.SH', '600359.SH', '600371.SH', '600438.SH', '600467.SH', '600506.SH', '600540.SH', '600598.SH', '600737.SH', '600873.SH', '600962.SH', '600965.SH', '600975.SH', '601118.SH', '601952.SH', '603336.SH', '603363.SH', '603566.SH', '603609.SH', '603668.SH', '603718.SH', '603739.SH']"
2019-01-22,"['000048.SZ', '000505.SZ', '000576.SZ', '000592.SZ', '000639.SZ', '000702.SZ', '000713.SZ', '000735.SZ', '000798.SZ', '000876.SZ', '000893.SZ', '000911.SZ', '000930.SZ', '000972.SZ', '000998.SZ', '001313.SZ', '002041.SZ', '002069.SZ', '002086.SZ', '002100.SZ', '002124.SZ', '002157.SZ', '002220.SZ', '002234.SZ', '002286.SZ', '002299.SZ', '002311.SZ', '002321.SZ', '002385.SZ', '002458.SZ', '002477.SZ', '002505.SZ', '002548.SZ', '002567.SZ', '002604.SZ', '002679.SZ', '002688.SZ', '002696.SZ', '002714.SZ', '002746.SZ', '002772.SZ', '002852.SZ', '002868.SZ', '002891.SZ', '300021.SZ', '300087.SZ', '300094.SZ', '300106.SZ', '300119.SZ', '300138.SZ', '300149.SZ', '300175.SZ', '300189.SZ', '300268.SZ', '300313.SZ', '300498.SZ', '300511.SZ', '300673.SZ', '300761.SZ', '600097.SH', '600108.SH', '600127.SH', '600189.SH', '600191.SH', '600195.SH', '600201.SH', '600226.SH', '600251.SH', '600257.SH', '600265.SH', '600275.SH', '600298.SH', '600313.SH', '600354.SH', '600359.SH', '600371.SH', '600438.SH', '600467.SH', '600506.SH', '600540.SH', '600598.SH', '600737.SH', '600873.SH', '600962.SH', '600965.SH', '600975.SH', '601118.SH', '601952.SH', '603336.SH', '603363.SH', '603566.SH', '603609.SH', '603668.SH', '603718.SH', '603739.SH']"
2019-03-22,"['000048.SZ', '000505.SZ', '000576.SZ', '000592.SZ', '000639.SZ', '000702.SZ', '000713.SZ', '000735.SZ', '000798.SZ', '000876.SZ', '000893.SZ', '000911.SZ', '000930.SZ', '000972.SZ', '000998.SZ', '001313.SZ', '002041.SZ', '002069.SZ', '002086.SZ', '002100.SZ', '002124.SZ', '002157.SZ', '002220.SZ', '002234.SZ', '002286.SZ', '002299.SZ', '002311.SZ', '002321.SZ', '002385.SZ', '002458.SZ', '002477.SZ', '002505.SZ', '002548.SZ', '002567.SZ', '002604.SZ', '002679.SZ', '002688.SZ', '002696.SZ', '002714.SZ', '002746.SZ', '002772.SZ', '002852.SZ', '002868.SZ', '002891.SZ', '300021.SZ', '300087.SZ', '300094.SZ', '300106.SZ', '300119.SZ', '300138.SZ', '300149.SZ', '300175.SZ', '300189.SZ', '300268.SZ', '300313.SZ', '300498.SZ', '300511.SZ', '300673.SZ', '300761.SZ', '600097.SH', '600108.SH', '600127.SH', '600189.SH', '600191.SH', '600195.SH', '600201.SH', '600226.SH', '600251.SH', '600257.SH', '600265.SH', '600275.SH', '600298.SH', '600313.SH', '600354.SH', '600359.SH', '600371.SH', '600438.SH', '600467.SH', '600506.SH', '600540.SH', '600598.SH', '600737.SH', '600873.SH', '600962.SH', '600965.SH', '600975.SH', '601118.SH', '601952.SH', '603336.SH', '603363.SH', '603566.SH', '603609.SH', '603668.SH', '603718.SH', '603739.SH', '688526.SH']"
2019-04-02,"['000048.SZ', '000505.SZ', '000576.SZ', '000592.SZ', '000639.SZ', '000702.SZ', '000713.SZ', '000735.SZ', '000798.SZ', '000876.SZ', '000893.SZ', '000911.SZ', '000930.SZ', '000972.SZ', '000998.SZ', '001313.SZ', '002041.SZ', '002069.SZ', '002086.SZ', '002100.SZ', '002124.SZ', '002157.SZ', '002220.SZ', '002234.SZ', '002286.SZ', '002299.SZ', '002311.SZ', '002321.SZ', '002385.SZ', '002458.SZ', '002477.SZ', '002505.SZ', '002548.SZ', '002567.SZ', '002604.SZ', '002679.SZ', '002688.SZ', '002696.SZ', '002714.SZ', '002746.SZ', '002772.SZ', '002852.SZ', '002868.SZ', '002891.SZ', '300021.SZ', '300087.SZ', '300094.SZ', '300106.SZ', '300119.SZ', '300138.SZ', '300149.SZ', '300175.SZ', '300189.SZ', '300268.SZ', '300313.SZ', '300498.SZ', '300511.SZ', '300673.SZ', '300761.SZ', '600097.SH', '600108.SH', '600127.SH', '600189.SH', '600191.SH', '600195.SH', '600201.SH', '600226.SH', '600251.SH', '600257.SH', '600265.SH', '600275.SH', '600298.SH', '600313.SH', '600354.SH', '600359.SH', '600371.SH', '600438.SH', '600467.SH', '600506.SH', '600540.SH', '600598.SH', '600737.SH', '600873.SH', '600962.SH', '600965.SH', '600975.SH', '601118.SH', '601952.SH', '603336.SH', '603363.SH', '603566.SH', '603609.SH', '603668.SH', '603718.SH', '603739.SH', '688098.SH', '688526.SH']"
